dataset,forecaster,coverage,horizon_hours,window,method,n,picp,mpiw,winkler_interval_score,macro_user_abs_coverage_gap,user_coverage_std,max_abs_cluster_coverage_gap,forecaster_key,window_order
London,lightgbm_quantile,0.8,1.0,2014-01,raw,743095,0.7784105666166506,0.362363935109993,0.6229477339956113,0.0473034586287967,0.0737620211229472,0.0349379202243946,lgbm,10
London,lightgbm_quantile,0.8,1.0,2014-01,rolling_global_norm,743095,0.8036563292714929,0.3674091899529406,0.6227281162153454,0.0426546980928266,0.0596619069772524,0.0074874346025932,lgbm,10
London,lightgbm_quantile,0.8,1.0,2014-01,rolling_group_norm,743095,0.8036724779469651,0.3674661008373635,0.6227268817708613,0.042557795927229,0.059453555452916,0.0046528894938744,lgbm,10
London,lightgbm_quantile,0.8,1.0,2014-01,rolling_user_norm,743095,0.7996151232345797,0.3695304319091982,0.6209876630173171,0.0304529769428744,0.0522618823264638,0.0047042633375119,lgbm,10
London,lightgbm_quantile,0.8,1.0,2014-01,aci_global,743095,0.8000174943984282,0.3664274543886222,0.6227213250908034,0.0424201374761899,0.0599875430385716,0.0028250888772011,lgbm,10
London,lightgbm_quantile,0.8,1.0,2014-01,aci_segment,743095,0.8000309516279883,0.3665544007741296,0.6227206074034893,0.0425273671319889,0.059913604729919,0.0012622200222743,lgbm,10
London,lightgbm_quantile,0.8,1.0,2014-01,aci_user,743095,0.8016538935129425,0.3683228240419292,0.6187355480924652,0.0057163871865336,0.0112695146424776,0.0043228973311882,lgbm,10
London,lightgbm_quantile,0.8,1.0,2014-01,pid_global,743095,0.8000376802427684,0.3665366641971997,0.6227324795188975,0.0415292975771562,0.0584317425102544,0.002678772683953,lgbm,10
London,lightgbm_quantile,0.8,1.0,2014-01,pid_segment,743095,0.8000161486754722,0.3672385767940042,0.6228028810088043,0.041133267197993,0.0578648947775022,0.0001237470610072,lgbm,10
London,lightgbm_quantile,0.8,1.0,2014-01,pid_user,743095,0.7999488625276714,0.3789727853900568,0.6239566060997783,0.0009136553908042,0.001235204001877,0.0001565978716926,lgbm,10
Ausgrid,lightgbm_quantile,0.8,1.0,2012-07,raw,444912,0.7672483547308232,0.5900453044611073,0.9875725129869316,0.0463138778005538,0.0551009008265079,0.0464488636363636,lgbm,0
Ausgrid,lightgbm_quantile,0.8,1.0,2012-07,rolling_global_norm,444912,0.7903473046355234,0.5961529663429094,0.987035303522908,0.0392171935124249,0.0514124926512705,0.0161443595548009,lgbm,0
Ausgrid,lightgbm_quantile,0.8,1.0,2012-07,rolling_group_norm,444912,0.7905248678390333,0.5958990484177601,0.9870107291276692,0.0389461286726363,0.0505951368251905,0.0143282624633431,lgbm,0
Ausgrid,lightgbm_quantile,0.8,1.0,2012-07,rolling_user_norm,444912,0.7910418240011508,0.5967308885848074,0.9856568742933758,0.0269491494947315,0.0382957349076215,0.0137707722385141,lgbm,0
Ausgrid,lightgbm_quantile,0.8,1.0,2012-07,aci_global,444912,0.797773492286115,0.5988317838438,0.9869729887278204,0.0385447009745747,0.0510548547157906,0.0093296076212036,lgbm,0
Ausgrid,lightgbm_quantile,0.8,1.0,2012-07,aci_segment,444912,0.7978544071636638,0.5982596192732667,0.986934098057494,0.0383118459380731,0.0505767165547918,0.0029875366568915,lgbm,0
Ausgrid,lightgbm_quantile,0.8,1.0,2012-07,aci_user,444912,0.7988613478620491,0.5997313697715224,0.98432391906263,0.0048301686625669,0.0065526974603384,0.0023384042033236,lgbm,0
Ausgrid,lightgbm_quantile,0.8,1.0,2012-07,pid_global,444912,0.7997176969827742,0.6013986698282638,0.9867625501566412,0.0377234149674542,0.0496369035246174,0.0072552932047444,lgbm,0
Ausgrid,lightgbm_quantile,0.8,1.0,2012-07,pid_segment,444912,0.7997154493472867,0.6012985766577686,0.9867741346903643,0.0367232171755313,0.0480952859779349,0.0004139173998045,lgbm,0
Ausgrid,lightgbm_quantile,0.8,1.0,2012-07,pid_user,444912,0.7994816952565901,0.6195780875528083,0.9941053548040756,0.000926475347934,0.0011722835875409,0.0006659335288368,lgbm,0
Ausgrid,lightgbm_quantile,0.8,1.0,2012-08,raw,444912,0.7757893695831984,0.5517756463329008,0.8977903774299724,0.044654223756608,0.0610487368651506,0.0393313172043011,lgbm,1
Ausgrid,lightgbm_quantile,0.8,1.0,2012-08,rolling_global_norm,444912,0.8071281511849534,0.5606638467964359,0.8975868864925733,0.0379953788614377,0.0489070653238196,0.0119249528877064,lgbm,1
Ausgrid,lightgbm_quantile,0.8,1.0,2012-08,rolling_group_norm,444912,0.8069685690653433,0.5600969433278394,0.8975463521971658,0.0379140144567914,0.0483451707743356,0.0081494057724956,lgbm,1
Ausgrid,lightgbm_quantile,0.8,1.0,2012-08,rolling_user_norm,444912,0.808285683460999,0.5613808815785815,0.8966500892406493,0.0258478081058726,0.0351583199686466,0.0116293988269794,lgbm,1
