forecaster,dataset,configuration,coverage,horizon_hours,window,window_order,strategy,selected_policy,loss
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-11,4,Latest-fold minimum,rolling_user_norm,0.0479181279945317
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-11,4,Previous-window winner,rolling_user_norm,0.0479181279945317
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-11,4,Follow-the-leader,rolling_user_norm,0.0479181279945317
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-11,4,Global-CQR,rolling_global_norm,0.0551432914505001
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-11,4,Segment-CQR,rolling_group_norm,0.0532712005850823
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-11,4,User-CQR,rolling_user_norm,0.0479181279945317
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-11,4,Ex-post best fixed,rolling_user_norm,0.0479181279945317
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-11,4,Month-wise oracle,rolling_user_norm,0.0479181279945317
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-12,5,CSGR,rolling_user_norm,0.0441692116911726
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-12,5,Mean-fold minimum,rolling_user_norm,0.0441692116911726
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-12,5,Latest-fold minimum,rolling_user_norm,0.0441692116911726
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-12,5,Previous-window winner,rolling_user_norm,0.0441692116911726
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-12,5,Follow-the-leader,rolling_user_norm,0.0441692116911726
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-12,5,Global-CQR,rolling_global_norm,0.0595319994579771
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-12,5,Segment-CQR,rolling_group_norm,0.051392737967863
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-12,5,User-CQR,rolling_user_norm,0.0441692116911726
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-12,5,Ex-post best fixed,rolling_user_norm,0.0441692116911726
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2012-12,5,Month-wise oracle,rolling_user_norm,0.0441692116911726
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-01,6,CSGR,rolling_user_norm,0.0579735002612769
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-01,6,Mean-fold minimum,rolling_user_norm,0.0579735002612769
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-01,6,Latest-fold minimum,rolling_user_norm,0.0579735002612769
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-01,6,Previous-window winner,rolling_user_norm,0.0579735002612769
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,2013-01,6,Follow-the-leader,rolling_user_norm,0.0579735002612769
