dataset,configuration,window,coverage,horizon_hours,method,half_life_days,n,picp,mpiw,winkler_interval_score,macro_user_abs_coverage_gap,user_coverage_std,max_abs_cluster_coverage_gap,mean_calibration_age_days,effective_weight_sum,erw_global_correction,picp_abs_gap,l05
Ausgrid,persistence_qi__c90__h1,2012-10,0.9,1.0,rolling_group_norm,,444912,0.9304154529435036,0.9424002356552336,1.3406112556293486,0.0360696047757758,0.0291977179350026,0.0391724706744868,16.47481569652361,271620.33269672527,-0.0762522684966208,0.030415452943503563,0.0376210377251313
Ausgrid,persistence_qi__c90__h1,2012-10,0.9,1.0,rolling_user_norm,,444912,0.9257785809328586,0.9492970241399612,1.3504016437451485,0.0349120724997302,0.0368672033717387,0.0315661656891494,16.47481569652361,271620.33269672527,-0.0762522684966208,0.025778580932858564,0.0332391190944398
Ausgrid,persistence_qi__c90__h1,2012-10,0.9,1.0,erw_global_norm,14.0,444912,0.914454993346999,0.8405858838225776,1.313422095045726,0.0292174632286834,0.033574351197551,0.0206149193548387,16.47481569652361,271620.33269672527,-0.0762522684966208,0.014454993346998957,0.02491619129176105
Ausgrid,persistence_qi__c90__h1,2012-10,0.9,1.0,erw_group_norm,14.0,444912,0.9144527457115116,0.8371819821426341,1.312163556435298,0.0290282123206386,0.0333786689489543,0.018468963831867,16.47481569652361,271620.33269672527,-0.0762522684966208,0.014452745711511561,0.0237485880762528
Ausgrid,persistence_qi__c90__h1,2012-10,0.9,1.0,erw_user_norm,14.0,444912,0.9092359837451002,0.8186776093538288,1.3047709704566106,0.0279974466860862,0.0476921133991807,0.0136597938144329,16.47481569652361,271620.33269672527,-0.0762522684966208,0.009235983745100151,0.02082862025025955
Ausgrid,persistence_qi__c90__h1,2012-11,0.9,1.0,rolling_global_norm,,430560,0.9072626347082868,0.7832830790073129,1.31418214614029,0.0296149201040505,0.0374719947225594,0.0173847853535353,16.47481569652361,271620.33269672527,-0.1858332286952482,0.007262634708286808,0.023499852728792903
Ausgrid,persistence_qi__c90__h1,2012-11,0.9,1.0,rolling_group_norm,,430560,0.9073021181716834,0.7760331985654043,1.3119450533736337,0.0288275733927907,0.0367258380091989,0.0108349116161615,16.47481569652361,271620.33269672527,-0.1858332286952482,0.007302118171683358,0.0198312425044761
Ausgrid,persistence_qi__c90__h1,2012-11,0.9,1.0,rolling_user_norm,,430560,0.9032980304719436,0.7482027101239958,1.3022271576866555,0.0253855444072835,0.038503135593839,0.005541237113402,16.47481569652361,271620.33269672527,-0.1858332286952482,0.003298030471943547,0.015463390760342751
Ausgrid,persistence_qi__c90__h1,2012-11,0.9,1.0,erw_global_norm,14.0,430560,0.9034908026755852,0.7656408911880948,1.3127511465738209,0.0299586584912671,0.0387064260221636,0.0139520202020201,16.47481569652361,271620.33269672527,-0.1858332286952482,0.003490802675585214,0.0219553393466436
Ausgrid,persistence_qi__c90__h1,2012-11,0.9,1.0,erw_group_norm,14.0,430560,0.903544221479004,0.7576018571158343,1.3106753462002796,0.0294918246005202,0.0382461978758547,0.0063368055555554,16.47481569652361,271620.33269672527,-0.1858332286952482,0.003544221479004017,0.0179143150780378
Ausgrid,persistence_qi__c90__h1,2012-11,0.9,1.0,erw_user_norm,14.0,430560,0.902087978446674,0.7339739050591397,1.2901958544881396,0.0209053325901151,0.0321544500910197,0.0046164772727272,16.47481569652361,271620.33269672527,-0.1858332286952482,0.002087978446673966,0.01276090493142115
Ausgrid,persistence_qi__c90__h1,2012-12,0.9,1.0,rolling_global_norm,,444912,0.9045519113892184,0.7611896179886605,1.3614928309792165,0.0355261265149063,0.0459541743679005,0.0146352639296187,16.47481569652361,271620.33269672527,-0.1973973461369865,0.004551911389218399,0.0250806952222625
Ausgrid,persistence_qi__c90__h1,2012-12,0.9,1.0,rolling_group_norm,,444912,0.9042057755241486,0.7526541086292545,1.360743687057165,0.0348482396518862,0.0466988950761633,0.0092624033201282,16.47481569652361,271620.33269672527,-0.1973973461369865,0.004205775524148581,0.022055321486007202
Ausgrid,persistence_qi__c90__h1,2012-12,0.9,1.0,rolling_user_norm,,444912,0.9041518322724492,0.7306615431131995,1.3374015579289606,0.0260500952997446,0.032956868613469,0.0086611016789285,16.47481569652361,271620.33269672527,-0.1973973461369865,0.004151832272449196,0.01735559848933655
Ausgrid,persistence_qi__c90__h1,2012-12,0.9,1.0,erw_global_norm,14.0,444912,0.9039203258172402,0.7577319196955337,1.361341227773309,0.0356227748408674,0.0461938916402005,0.0140701368523948,16.47481569652361,271620.33269672527,-0.1973973461369865,0.003920325817240222,0.0248464558466311
Ausgrid,persistence_qi__c90__h1,2012-12,0.9,1.0,erw_group_norm,14.0,444912,0.9036034092135072,0.7500292520836244,1.360589643294149,0.0348167727550616,0.0469730187759824,0.0088910111299754,16.47481569652361,271620.33269672527,-0.1973973461369865,0.0036034092135072138,0.0218538919425185
Ausgrid,persistence_qi__c90__h1,2012-12,0.9,1.0,erw_user_norm,14.0,444912,0.9037877153234796,0.7339003667082047,1.3323211150570546,0.0237323335850684,0.0316947721595211,0.0081835974344463,16.47481569652361,271620.33269672527,-0.1973973461369865,0.0037877153234795458,0.015957965509757352
