dataset,forecaster_key,window,window_order,scenario,comparison,target,base,delta_picp,delta_mpiw,delta_winkler_interval_score,delta_macro_user_abs_coverage_gap,delta_max_abs_cluster_coverage_gap,delta_joint_loss,relative_mpiw_change,relative_winkler_interval_score_change
Ausgrid,persistence,2013-05,10,O,aci_global_vs_static_global,aci_global,static_global,0.03406965871902756,0.07439427555606842,-0.00990685988828588,-0.017615168842377897,-0.036879833993586096,-0.027247501417981997,0.17400854502154056,-0.008462440195444764
Ausgrid,persistence,2013-06,11,O,aci_global_vs_static_global,aci_global,static_global,0.046941192865105896,0.13114410043627667,-0.024121703502921088,-0.023803883314752895,-0.045052083333333395,-0.03442798332404314,0.2739462087409549,-0.01610906409489568
UCI Electricity,persistence,2014-01,0,O,aci_global_vs_static_global,aci_global,static_global,-0.0020998880585249013,-0.6543103315458723,-0.3030542237740974,6.483934033359867e-05,0.007890282755874195,0.0039775610481039,-0.002896695153840387,-0.0007894249964070445
UCI Electricity,persistence,2014-02,1,O,aci_global_vs_static_global,aci_global,static_global,0.0015993750872783652,2.1119605215531863,-0.09236342264790665,0.0001291719033654007,-0.003417107583774212,-0.0016439678402044022,0.009284860529485899,-0.00024982891561785796
UCI Electricity,persistence,2014-03,2,O,aci_global_vs_static_global,aci_global,static_global,-0.010584184719200307,-10.260067888980046,-1.1138617272029023,-0.0006466196827798962,0.0302917164476304,0.014822548382425249,-0.04437679742386836,-0.0029783752317657495
UCI Electricity,persistence,2014-04,3,O,aci_global_vs_static_global,aci_global,static_global,-0.008001384815900958,-0.38189076664895083,-0.002815491086437305,-0.0020446399478656965,0.0318672839506174,0.014911322001375862,-0.0017316457165517816,-6.916616804630465e-06
UCI Electricity,persistence,2014-05,4,O,aci_global_vs_static_global,aci_global,static_global,-0.005296526660990786,-0.10958279506940016,-0.0036173646436736817,-0.001832253334594601,0.0193150139386698,0.008741380302037596,-0.0004968925558599959,-7.998039585091485e-06
UCI Electricity,persistence,2014-06,5,O,aci_global_vs_static_global,aci_global,static_global,-5.804007820142676e-05,2.2349529191266697,-0.6010653350071493,-0.0011760752688171963,0.004835390946501997,0.0018296578388424106,0.010134177246312201,-0.0011773431819626762
UCI Electricity,persistence,2014-07,6,O,aci_global_vs_static_global,aci_global,static_global,0.012302722858133941,15.243715217395646,-6.304208929029187,-0.0018196402106390938,-0.02160493827160491,-0.011712289241121998,0.06912114826746318,-0.010922951684989204
UCI Electricity,persistence,2014-08,7,O,aci_global_vs_static_global,aci_global,static_global,-0.0007863494465991661,-1.3764607308938537,-0.2944039304766193,0.00025975152145810143,9.956192751889997e-05,0.00017965672448849723,-0.005916835671089063,-0.0004955760145125027
UCI Electricity,persistence,2014-09,8,O,aci_global_vs_static_global,aci_global,static_global,-0.006847710980775523,-9.24478278077865,1.149162748462345,0.00031667481264260194,0.011754115226337403,0.006035395019489999,-0.038910961526483746,0.00204442500334656
UCI Electricity,persistence,2014-10,9,O,aci_global_vs_static_global,aci_global,static_global,-0.006112438116860686,-5.052452987098604,1.021535613763433,-0.0014834216252010007,0.018929211469534094,0.008722894922166546,-0.022279771899348346,0.0020067279853799498
