scenario,method_name,dataset,forecaster_key,window,window_order,picp,mpiw,winkler_interval_score,macro_user_abs_coverage_gap,max_abs_cluster_coverage_gap,joint_loss,selected_static_policy,router_loss_audit
M,static_segment,London,persistence,2013-06,3,0.8173251384416184,0.3349185047658443,0.757758999691268,0.0471747391974871,0.0419292005420053,0.0445519698697462,,
M,static_user,London,persistence,2013-06,3,0.8164846248530838,0.3355746956633825,0.7538923379825446,0.0383416000956836,0.0429623983739837,0.04065199923483365,,
M,static_global,London,persistence,2013-07,4,0.8277658357430253,0.3175848388674572,0.6668287230511953,0.0595619886725939,0.051880081300813,0.05572103498670345,,
M,static_segment,London,persistence,2013-07,4,0.827935219950771,0.3150989981875953,0.6660150929603948,0.0594692693889301,0.0427911093627064,0.05113018937581825,,
M,static_user,London,persistence,2013-07,4,0.8251592009904943,0.3028716308846237,0.6556779204617393,0.0453789091696023,0.0409470889063728,0.04316299903798755,,
M,static_global,London,persistence,2013-08,5,0.8098659892199954,0.2987669245230511,0.660442228660825,0.0595820443574126,0.0328142416890695,0.046198143023241045,,
M,static_segment,London,persistence,2013-08,5,0.8094694678548866,0.2963153630506652,0.6601768814664947,0.0608759135715042,0.0118234508061263,0.03634968218881525,,
M,static_user,London,persistence,2013-08,5,0.807894135516217,0.2688767214258467,0.64652711999849,0.035119491412973,0.0117206588175757,0.02342007511527435,,
M,static_global,London,persistence,2013-09,6,0.7717705662222494,0.2872173594001199,0.7646049621633817,0.060316077291107,0.0430718954248366,0.0516939863579718,,
M,static_segment,London,persistence,2013-09,6,0.7723164799262113,0.2853683085507453,0.7649021216302698,0.0599336701076101,0.0360317917605789,0.0479827309340945,,
M,static_user,London,persistence,2013-09,6,0.7652737764170836,0.2484230324127508,0.761837705912976,0.0531385103890005,0.0466572895659984,0.04989789997749945,,
M,static_global,London,persistence,2013-10,7,0.7700934001443958,0.3068794304282577,0.8357115122797074,0.0548831496244839,0.0446458511277719,0.049764500376127896,,
M,static_segment,London,persistence,2013-10,7,0.7700772665366119,0.3019281794895792,0.8362972053413988,0.0545787111879476,0.0340666185823881,0.04432266488516785,,
M,static_user,London,persistence,2013-10,7,0.7643404245021101,0.2760808917390068,0.8317845484451594,0.0473227988168486,0.0393941380893057,0.04335846845307715,,
M,static_global,London,persistence,2013-11,8,0.766910346820488,0.3342949972026465,0.9780721263163088,0.0551329660470291,0.0503408850307008,0.05273692553886495,,
M,static_segment,London,persistence,2013-11,8,0.7658836670389944,0.327469349955855,0.9805906729271412,0.0564563488599672,0.0720050815159856,0.0642307151879764,,
M,static_user,London,persistence,2013-11,8,0.7611295422591957,0.323376357244497,0.9768807836118836,0.0516315258522112,0.0806097819182722,0.0661206538852417,,
M,static_global,London,persistence,2013-12,9,0.7893368395013928,0.3658774283153468,0.9908023578045562,0.0501621560759703,0.0199845906691584,0.035073373372564345,,
