dataset,forecaster,coverage_target,horizon_hours,window,global_macro_user_gap,global_max_audit_group_gap,global_weighted_mean_audit_group_gap,user_macro_user_gap,user_max_audit_group_gap,user_weighted_mean_audit_group_gap,delta_user_gap_user_minus_global,delta_group_gap_user_minus_global,delta_weighted_mean_group_gap_user_minus_global,personalization_conflict,weighted_mean_group_conflict
UCI Electricity,lightgbm_quantile,0.8,6.0,2014-01,0.08439588648085894,0.0382035877880903,0.026210174125201637,0.05882626421572133,0.01838955450958013,0.012218963831867017,-0.025569622265137606,-0.019814033278510168,-0.01399121029333462,0,0
UCI Electricity,lightgbm_quantile,0.8,6.0,2014-02,0.08921230614779002,0.03348016157750677,0.01487257051773182,0.055421917518691716,0.025831094252146913,0.012689008656750602,-0.033790388629098306,-0.0076490673253598596,-0.002183561860981219,0,0
UCI Electricity,lightgbm_quantile,0.8,6.0,2014-03,0.08026667143504279,0.028514641341103708,0.019739686399796584,0.06694204038814583,0.03696690914277567,0.026485945211358317,-0.013324631046896962,0.008452267801671964,0.0067462588115617325,1,1
UCI Electricity,lightgbm_quantile,0.8,6.0,2014-04,0.07379083598248683,0.016693934210852412,0.009851359898798191,0.060518987653712504,0.01822153640217139,0.008904441542012715,-0.013271848328774323,0.0015276021913189775,-0.0009469183567854759,1,0
UCI Electricity,lightgbm_quantile,0.8,6.0,2014-05,0.07476575352263785,0.01840084628916472,0.013026806221141406,0.05372867145093738,0.01856130842010184,0.011075546972478565,-0.02103708207170047,0.00016046213093712236,-0.0019512592486628406,1,0
UCI Electricity,lightgbm_quantile,0.8,6.0,2014-06,0.07866384090293008,0.022826033068094498,0.01721128334031561,0.05018194961268965,0.015677060297803358,0.012042353598330854,-0.028481891290240424,-0.00714897277029114,-0.005168929741984756,0,0
UCI Electricity,lightgbm_quantile,0.8,6.0,2014-07,0.08219885717918761,0.044266374079669935,0.028761255354489042,0.05484308068887141,0.029181355972851764,0.021547099635219242,-0.027355776490316203,-0.015085018106818171,-0.0072141557192698,0,0
UCI Electricity,lightgbm_quantile,0.8,6.0,2014-08,0.08267668820383217,0.039292994699858474,0.024883969514181967,0.04861121045228048,0.005587647981743049,0.004470352621414797,-0.03406547775155169,-0.033705346718115425,-0.020413616892767168,0,0
UCI Electricity,lightgbm_quantile,0.8,6.0,2014-09,0.08220446536385814,0.05657271758260818,0.026406310324716378,0.04936235491263954,0.015646612627351786,0.009974576340800175,-0.032842110451218605,-0.04092610495525639,-0.016431733983916202,0,0
UCI Electricity,lightgbm_quantile,0.8,6.0,2014-10,0.08181162530100375,0.046541149622022604,0.024289909321380643,0.06558384792059063,0.03632395615991557,0.01929682346676839,-0.016227777380413116,-0.010217193462107033,-0.004993085854612254,0,0
