source,variant,layout,threshold_se,fallback,efficiency_weight,windows,mean_router_loss,mean_best_fixed_loss,mean_global_loss,mean_oracle_loss,mean_delta_best_fixed,mean_delta_global,mean_router_user_gap,mean_router_segment_gap,mean_router_interval_score,strict_conflict_rate_vs_global,selected_global,selected_segment,selected_user,block_months,delta_best_ci_low,delta_best_ci_high
lgbm,expanding_k2_history_best_eta0,expanding,2.0,history_best,0.0,35,0.021940736121974686,0.021940736121974686,0.0313502140137973,0.021771445559085726,0.0,-0.009409477891822607,0.030422573513523555,0.013458898730425821,180.60174598167654,0.3142857142857143,0,0,35,3,0.0,0.0
lgbm,expanding_k2_history_best_eta0.01,expanding,2.0,history_best,0.01,35,0.04073495695199446,0.04073495695199446,0.05018875364164224,0.040568062328991045,0.0,-0.00945379668964779,0.030422573513523555,0.013458898730425821,180.60174598167654,0.3142857142857143,0,0,35,2,0.0,0.0
lgbm,expanding_k2_history_best_eta0.01,expanding,2.0,history_best,0.01,35,0.04073495695199446,0.04073495695199446,0.05018875364164224,0.040568062328991045,0.0,-0.00945379668964779,0.030422573513523555,0.013458898730425821,180.60174598167654,0.3142857142857143,0,0,35,3,0.0,0.0
lgbm,recent7_direct_eta0,recent_7d_direct,,not_applicable,0.0,35,0.021874968866364763,0.021940736121974686,0.0313502140137973,0.021771445559085726,-6.57672556099258e-05,-0.009475245147432533,0.03067677801230629,0.013073159720423234,180.60173763830238,0.2571428571428571,1,1,33,2,-0.0002795177521427743,8.221598531299694e-05
lgbm,recent7_direct_eta0,recent_7d_direct,,not_applicable,0.0,35,0.021874968866364763,0.021940736121974686,0.0313502140137973,0.021771445559085726,-6.57672556099258e-05,-0.009475245147432533,0.03067677801230629,0.013073159720423234,180.60173763830238,0.2571428571428571,1,1,33,3,-0.0002521124237051087,5.481065687533129e-05
lgbm,recent7_direct_eta0.01,recent_7d_direct,,not_applicable,0.01,35,0.0406695187948002,0.04073495695199446,0.05018875364164224,0.040568062328991045,-6.543815719425424e-05,-0.009519234846842046,0.03067677801230629,0.013073159720423234,180.60173763830238,0.2571428571428571,1,1,33,2,-0.00028099212159725146,8.467765001448873e-05
lgbm,recent7_direct_eta0.01,recent_7d_direct,,not_applicable,0.01,35,0.0406695187948002,0.04073495695199446,0.05018875364164224,0.040568062328991045,-6.543815719425424e-05,-0.009519234846842046,0.03067677801230629,0.013073159720423234,180.60173763830238,0.2571428571428571,1,1,33,3,-0.00025276623825908854,5.645176667632582e-05
persistence,expanding_k0.5_global_eta0,expanding,0.5,global,0.0,140,0.041708868258811004,0.042041960304314674,0.05808506264599228,0.04030325542381303,-0.00033309204550366854,-0.016376194387181287,0.04686100821587581,0.03655672830174618,311.5664582886149,0.1357142857142857,14,5,121,2,-0.0006892136879964581,-3.490830681898342e-05
persistence,expanding_k0.5_global_eta0,expanding,0.5,global,0.0,140,0.041708868258811004,0.042041960304314674,0.05808506264599228,0.04030325542381303,-0.00033309204550366854,-0.016376194387181287,0.04686100821587581,0.03655672830174618,311.5664582886149,0.1357142857142857,14,5,121,3,-0.0006691110186596909,-3.336612823677274e-05
persistence,expanding_k0.5_global_eta0.01,expanding,0.5,global,0.01,140,0.08558170152716499,0.08590522689506801,0.10289397448437472,0.08422553882660834,-0.00032352536790302273,-0.017312272957209735,0.04683642229455076,0.03651891634101219,311.56638887507427,0.1357142857142857,14,4,122,2,-0.0007009880433262,-2.8492821631954016e-05
persistence,expanding_k0.5_global_eta0.01,expanding,0.5,global,0.01,140,0.08558170152716499,0.08590522689506801,0.10289397448437472,0.08422553882660834,-0.00032352536790302273,-0.017312272957209735,0.04683642229455076,0.03651891634101219,311.56638887507427,0.1357142857142857,14,4,122,3,-0.0006840873332375299,-2.7950958989483193e-05
persistence,expanding_k0.5_history_best_eta0,expanding,0.5,history_best,0.0,140,0.041738027809747384,0.042041960304314674,0.05808506264599228,0.04030325542381303,-0.0003039324945672793,-0.0163470348362449,0.04677195476811006,0.0367041008513847,311.5666338346337,0.15,11,5,124,2,-0.00061706012297604,-2.507390656071312e-05
persistence,expanding_k0.5_history_best_eta0,expanding,0.5,history_best,0.0,140,0.041738027809747384,0.042041960304314674,0.05808506264599228,0.04030325542381303,-0.0003039324945672793,-0.0163470348362449,0.04677195476811006,0.0367041008513847,311.5666338346337,0.15,11,5,124,3,-0.0005949468427236365,-3.2179835609389955e-05
persistence,expanding_k0.5_history_best_eta0.01,expanding,0.5,history_best,0.01,140,0.08560368591448046,0.08590522689506801,0.10289397448437472,0.08422553882660834,-0.0003015409805875499,-0.017290288569894265,0.046747368846785015,0.03666628889065071,311.5665644210931,0.15,11,4,125,2,-0.0006284960451184204,-3.8740277021466386e-05
persistence,expanding_k0.5_history_best_eta0.01,expanding,0.5,history_best,0.01,140,0.08560368591448046,0.08590522689506801,0.10289397448437472,0.08422553882660834,-0.0003015409805875499,-0.017290288569894265,0.046747368846785015,0.03666628889065071,311.5665644210931,0.15,11,4,125,3,-0.0006091478163437013,-4.191256955524067e-05
