dataset,forecaster,coverage,horizon_hours,method,mean_user_window_gap,pooled_user_gap,temporal_cancellation_absolute,temporal_cancellation_ratio,equal_window_mean_user_window_gap,equal_window_pooled_user_gap,equal_window_temporal_cancellation_absolute,equal_window_temporal_cancellation_ratio,legacy_hybrid_mean_user_window_gap,legacy_hybrid_temporal_cancellation_absolute,legacy_hybrid_temporal_cancellation_ratio,weighting
Ausgrid,persistence_quantile_interval,0.8,6.0,rolling_group_norm,0.08686118874177243,0.03943223988637925,0.04742894885539318,0.5460315423081945,0.08686873507284623,0.03956169761196935,0.04730703746087688,0.5445807104386432,0.08686873507284622,0.04743649518646697,0.5460709787783575,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,persistence_quantile_interval,0.8,6.0,rolling_user_norm,0.07183999938913578,0.013091965608344417,0.05874803378079137,0.8177621698264618,0.07187257844033791,0.013050526203576707,0.05882205223676121,0.8184213439008583,0.07187257844033791,0.0587806128319935,0.8178447762353179,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,persistence_quantile_interval,0.9,1.0,raw,0.04069504894549563,0.018024885081168583,0.022670163864327048,0.5570742498599776,0.04067697880044479,0.018107402352011394,0.022569576448433395,0.5548488878477524,0.04067697880044478,0.0226520937192762,0.5568774866590758,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,persistence_quantile_interval,0.9,1.0,rolling_global_norm,0.040033139383943435,0.019148684351185833,0.020884455032757602,0.521679172658989,0.04003839434129581,0.019206320397370535,0.020832073943925274,0.520302431869476,0.04003839434129581,0.020889709990109976,0.5217419512890961,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,persistence_quantile_interval,0.9,1.0,rolling_group_norm,0.039723813014462206,0.018975733418854324,0.02074807959560788,0.5223083591712143,0.03973400518368961,0.019037264761756347,0.02069674042193326,0.5208823104102542,0.039734005183689615,0.02075827176483529,0.5224308918486863,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,persistence_quantile_interval,0.9,1.0,rolling_user_norm,0.03421484858203142,0.006667773858065705,0.02754707472396572,0.8051204627698568,0.034241362907649724,0.006668627461053836,0.027572735446595886,0.8052464360417142,0.03424136290764972,0.027573589049584013,0.8052713650432388,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,persistence_quantile_interval,0.9,6.0,raw,0.05949302087628472,0.0253098226966601,0.03418319817962462,0.5745749278845382,0.05943061292377561,0.025404831260371227,0.034025781663404385,0.5725295431000367,0.059430612923775605,0.034120790227115505,0.5741281899764029,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,persistence_quantile_interval,0.9,6.0,rolling_global_norm,0.06063216810983338,0.02911493410302225,0.031517234006811126,0.5198104403873302,0.0606122390495199,0.029180064625585308,0.03143217442393459,0.5185780119136443,0.0606122390495199,0.03149730494649765,0.5196525559922726,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,persistence_quantile_interval,0.9,6.0,rolling_group_norm,0.06050468838288968,0.028713099983201235,0.031791588399688445,0.5254400815768666,0.060483977998003244,0.02874878128209124,0.031735196715912004,0.5246876572331217,0.06048397799800324,0.031770878014802,0.5252775869975163,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,persistence_quantile_interval,0.9,6.0,rolling_user_norm,0.05095054290557566,0.012117446282127655,0.038833096623448,0.7621723814683511,0.050975408245525704,0.012072810564000969,0.038902597681524737,0.7631640239965976,0.050975408245525704,0.03885796196339805,0.7622883916149658,within-user effective-sample weighting for both terms; users macro-averaged
London,lightgbm_quantile,0.8,1.0,raw,0.04514828619294165,0.0330426990406223,0.012105587152319353,0.268129494452702,0.045146443263860914,0.03307453012196236,0.012071913141898552,0.2673945557868995,0.045146443263860914,0.012103744223238615,0.2680996186675793,within-user effective-sample weighting for both terms; users macro-averaged
London,lightgbm_quantile,0.8,1.0,rolling_global_norm,0.04185129865802219,0.029875693627440934,0.011975605030581253,0.2861465573251867,0.041831335789573584,0.029893380624503873,0.011937955165069711,0.2853830732329909,0.0418313357895736,0.011955642162132664,0.28580589016506114,within-user effective-sample weighting for both terms; users macro-averaged
London,lightgbm_quantile,0.8,1.0,rolling_group_norm,0.04154405170632205,0.029606008277347003,0.011938043428975045,0.287358669620526,0.04152518991397646,0.02962526728423745,0.011899922629739011,0.28657117894923245,0.04152518991397647,0.011919181636629465,0.2870349698898723,within-user effective-sample weighting for both terms; users macro-averaged
