dataset,forecaster,scheme,window,global_macro_user_gap,global_max_audit_group_gap,global_weighted_mean_audit_group_gap,user_macro_user_gap,user_max_audit_group_gap,user_weighted_mean_audit_group_gap,delta_user_gap_user_minus_global,delta_group_gap_user_minus_global,delta_weighted_mean_group_gap_user_minus_global,personalization_conflict,weighted_mean_group_conflict
London,lightgbm_quantile,KM4,2013-10,0.04111872413807094,0.03419205495818389,0.008465528745775885,0.028800536809961166,0.012537335722819565,0.009201392625756083,-0.012318187328109773,-0.021654719235364328,0.0007358638799801979,0,1
London,lightgbm_quantile,KM4,2013-11,0.041571006717962336,0.038464506172839474,0.009051796064122125,0.033071205210514806,0.06122685185185195,0.010520241180985868,-0.00849980150744753,0.022762345679012475,0.0014684451168637432,1,1
London,lightgbm_quantile,KM4,2013-12,0.04518514203706499,0.05580943847072872,0.005116015023837968,0.03170927861593038,0.021512843488650013,0.004098193049860603,-0.013475863421134611,-0.03429659498207871,-0.0010178219739773653,0,0
London,lightgbm_quantile,KM4,2014-01,0.042654698092826605,0.041808542413381056,0.0036563292714928276,0.030452976942874476,0.03267622461170849,0.0019706766967883802,-0.01220172114995213,-0.009132317801672563,-0.0016856525747044474,0,0
UCI Electricity,lightgbm_quantile,KM4,2014-01,0.04223919830440908,0.03666472663780873,0.009619991869373151,0.02783555609935151,0.02460658453256026,0.00842309255889767,-0.01440364220505757,-0.01205814210524847,-0.0011968993104754817,0,0
UCI Electricity,lightgbm_quantile,KM4,2014-02,0.04200497353711141,0.04120111169291496,0.011460113368675386,0.027289990428781823,0.020761206007107624,0.010626455895914018,-0.01471498310832959,-0.020439905685807336,-0.000833657472761368,0,0
UCI Electricity,lightgbm_quantile,KM4,2014-03,0.045641234118636104,0.07281550885184807,0.01434700410083555,0.03246823727221418,0.01600878270181061,0.008651026392961931,-0.013172996846421925,-0.056806726150037457,-0.005695977707873619,0,0
UCI Electricity,lightgbm_quantile,KM4,2014-04,0.047730025817871835,0.06817428051781327,0.01159316254654764,0.03358158733007314,0.01676126752621887,0.007842025622096538,-0.014148438487798697,-0.0514130129915944,-0.003751136924451101,0,0
UCI Electricity,lightgbm_quantile,KM4,2014-05,0.04373981204832592,0.034263940926121284,0.012918421395389238,0.028773341016644107,0.01159288494416355,0.007749750358181786,-0.014966471031681815,-0.022671055981957733,-0.005168671037207452,0,0
UCI Electricity,lightgbm_quantile,KM4,2014-06,0.0399302142516284,0.03824192760215006,0.013391644471997982,0.026560594504423295,0.014748336653760852,0.005537178959046252,-0.013369619747205103,-0.02349359094838921,-0.00785446551295173,0,0
UCI Electricity,lightgbm_quantile,KM4,2014-07,0.04415739472614391,0.04098432214179182,0.014871745282460328,0.029553249685234224,0.008073551344076169,0.004723262670555664,-0.014604145040909688,-0.03291077079771565,-0.010148482611904664,0,0
UCI Electricity,lightgbm_quantile,KM4,2014-08,0.04210934508985131,0.042057400603833894,0.0126752919723874,0.026528340760095182,0.02346775028470849,0.006609489151928195,-0.015581004329756131,-0.018589650319125406,-0.006065802820459204,0,0
UCI Electricity,lightgbm_quantile,KM4,2014-09,0.04061012566329089,0.037302183964214475,0.007675412657690914,0.028971690071335633,0.015381940729645827,0.007391946292300703,-0.011638435591955258,-0.021920243234568648,-0.0002834663653902116,0,0
UCI Electricity,lightgbm_quantile,KM4,2014-10,0.04507919467325537,0.09692514753080028,0.016603845076037203,0.03413935736472966,0.027983703757593403,0.012217056160528589,-0.010939837308525713,-0.06894144377320688,-0.004386788915508614,0,0
UCI Electricity,lightgbm_quantile,KM4,2014-11,0.04283972118329873,0.03573281208886214,0.011180402889317547,0.036244335771008114,0.01453942441425049,0.009094783811011503,-0.006595385412290614,-0.021193387674611652,-0.0020856190783060443,0,0
UCI Electricity,lightgbm_quantile,KM4,2014-12,0.04785130425515959,0.04069520654312042,0.014960945362977266,0.04078969699600969,0.025059529972046746,0.01567947963988432,-0.0070616072591499005,-0.015635676571073676,0.0007185342769070527,0,1
Ausgrid,persistence_quantile_interval,KM4,2012-07,0.05541770057899092,0.035055043522785545,0.016905815082533214,0.0408912324234905,0.021864806089162747,0.01888598194699181,-0.014526468155500419,-0.013190237433622798,0.001980166864458597,0,1
Ausgrid,persistence_quantile_interval,KM4,2012-08,0.0474314021649225,0.03604786000421667,0.02077804150034159,0.042066745783435805,0.016407073582121012,0.015131981155824047,-0.005364656381486692,-0.019640786422095657,-0.005646060344517544,0,0
Ausgrid,persistence_quantile_interval,KM4,2012-09,0.06871051653660346,0.06882802746566785,0.06446488294314376,0.07732255667038272,0.06753277153558046,0.05404589371980673,0.008612040133779267,-0.0012952559300873911,-0.010418989223337026,0,0
Ausgrid,persistence_quantile_interval,KM4,2012-10,0.04851835868666161,0.0478011356771777,0.037828604308267656,0.05241396051353973,0.04077866376706529,0.031575682382133936,0.00389560182687812,-0.0070224719101124045,-0.00625292192613372,0,0
Ausgrid,persistence_quantile_interval,KM4,2012-11,0.03992707172054997,0.022300249687890128,0.012330453363062054,0.03708890746934225,0.011441798941798975,0.007002508361203979,-0.0028381642512077185,-0.010858450746091153,-0.005327945001858075,0,0
Ausgrid,persistence_quantile_interval,KM4,2012-12,0.04843294853813787,0.02501425545780378,0.012487862768367624,0.03741279174308627,0.019678641251221873,0.010130093142014568,-0.011020156795051604,-0.005335614206581907,-0.0023577696263530554,0,0
Ausgrid,persistence_quantile_interval,KM4,2013-01,0.04917017297802712,0.02199820788530471,0.00833333333333334,0.03509997482648254,0.009453405017921246,0.0061351458265904634,-0.014070198151544581,-0.012544802867383464,-0.0021981875067428767,0,0
Ausgrid,persistence_quantile_interval,KM4,2013-02,0.047390109890109895,0.010719301765650058,0.009182393693263244,0.03843665392578436,0.010498157596371849,0.00674968147794235,-0.008953455964325535,-0.000221144169278209,-0.002432712215320894,0,0
Ausgrid,persistence_quantile_interval,KM4,2013-03,0.049649818391052605,0.011669385042889946,0.009854982558348655,0.03323893264285971,0.0031140509846562248,0.001693818103355253,-0.016410885748192897,-0.008555334058233721,-0.008161164454993403,0,0
Ausgrid,persistence_quantile_interval,KM4,2013-04,0.0443167038275734,0.0256331699346406,0.016938405797101458,0.045006503158677096,0.039246632996633,0.0172194351542178,0.0006897993311036979,0.013613463061992404,0.00028102935711634205,0,0
Ausgrid,persistence_quantile_interval,KM4,2013-05,0.06686266048117383,0.05148809523809528,0.04172870140612084,0.0626389038731255,0.05080005120327702,0.042758118459380774,-0.004223756608048329,-0.0006880440348182582,0.0010294170532599359,0,1
Ausgrid,persistence_quantile_interval,KM4,2013-06,0.08173541434411002,0.08169642857142867,0.05772017837235235,0.07389678558156822,0.07690145502645507,0.05734624674842072,-0.007838628762541808,-0.004794973544973602,-0.00037393162393162954,0,0
London,persistence_quantile_interval,KM4,2013-03,0.04187984813849804,0.03380079373118117,0.015650413607512355,0.028970855169194346,0.0092667264038232,0.006515024020689755,-0.01290899296930369,-0.024534067327357967,-0.0091353895868226,0,0
London,persistence_quantile_interval,KM4,2013-04,0.04046134046411582,0.033333333333333326,0.02442414046513307,0.037581724341950104,0.03180317575088709,0.021891622686802652,-0.0028796161221657166,-0.0015301575824462343,-0.002532517778330419,0,0
London,persistence_quantile_interval,KM4,2013-05,0.04667015776071783,0.03314000589188393,0.032458466803687976,0.04497049913593352,0.05042900279864482,0.029964929166056125,-0.0016996586247843143,0.01728899690676089,-0.0024935376376318506,1,0
London,persistence_quantile_interval,KM4,2013-06,0.04681511954083052,0.06039294399197137,0.02168775128577738,0.03834160009568362,0.04375951293759506,0.017956148808415662,-0.008473519445146904,-0.016633431054376313,-0.0037316024773617167,0,0
London,persistence_quantile_interval,KM4,2013-07,0.059561988672593914,0.09670698924731191,0.034729946455769815,0.04537890916960232,0.04179371041390478,0.025159200990494266,-0.014183079502991594,-0.05491327883340713,-0.00957074546527555,0,0
London,persistence_quantile_interval,KM4,2013-08,0.05958204435741267,0.12948775388291522,0.019189483446913135,0.03511949141297309,0.01313106052554247,0.007894135516217005,-0.02446255294443958,-0.11635669335737275,-0.01129534793069613,0,0
London,persistence_quantile_interval,KM4,2013-09,0.06031607729110708,0.1748456790123457,0.02822943377775065,0.05313851038900057,0.046566358024691445,0.03472622358291641,-0.007177566902106511,-0.12827932098765427,0.00649678980516576,0,1
London,persistence_quantile_interval,KM4,2013-10,0.05488314962448396,0.13266129032258067,0.029906599855604246,0.047322798816848644,0.04260473434573675,0.03567517131874772,-0.007560350807635313,-0.09005655597684392,0.005768571463143475,0,1
London,persistence_quantile_interval,KM4,2013-11,0.055132966047029164,0.0509251771868906,0.03308965317951202,0.05163152585221127,0.08458355134852313,0.03887045774080442,-0.0035014401948178925,0.03365837416163253,0.005780804561292402,1,1
London,persistence_quantile_interval,KM4,2013-12,0.05016215607597037,0.023404745026192497,0.011907527506211107,0.03738670746194741,0.02605621484270715,0.011696458340055354,-0.01277544861402296,0.002651469816514651,-0.00021106916615575358,1,0
London,persistence_quantile_interval,KM4,2014-01,0.049431086999419886,0.025204534344244967,0.011330475796085893,0.029389835689327085,0.0146654719235364,0.0025978670653594486,-0.0200412513100928,-0.010539062420708567,-0.008732608730726444,0,0
UCI Electricity,persistence_quantile_interval,KM4,2014-01,0.05668061993504241,0.06019696029776678,0.015507441743133744,0.025438306057452773,0.042535153019024,0.006798473812001316,-0.03124231387758964,-0.01766180727874278,-0.008708967931132428,0,0
UCI Electricity,persistence_quantile_interval,KM4,2014-02,0.05588408567239211,0.06695570054945055,0.014604934715821803,0.023568417469627144,0.03224587912087906,0.006159012358609128,-0.03231566820276496,-0.034709821428571486,-0.008445922357212674,0,0
UCI Electricity,persistence_quantile_interval,KM4,2014-03,0.04972783243464824,0.04828112076095947,0.018984525273547066,0.030511935168542854,0.04948821339950371,0.01648890045091913,-0.019215897266105387,0.0012070926385442382,-0.0024956248226279364,1,0
UCI Electricity,persistence_quantile_interval,KM4,2014-04,0.052923387096774174,0.05357905982905986,0.02160618279569889,0.036445096122515466,0.04229433760683754,0.017383512544802797,-0.016478290974258708,-0.011284722222222321,-0.004222670250896093,0,0
UCI Electricity,persistence_quantile_interval,KM4,2014-05,0.05140360420017026,0.06160566583953686,0.022845520764355306,0.03181424021694573,0.029611248966087578,0.014913048276731946,-0.019589363983224528,-0.03199441687344928,-0.00793247248762336,0,0
UCI Electricity,persistence_quantile_interval,KM4,2014-06,0.05390701368523947,0.058293269230769273,0.01801380742913001,0.02823293418051483,0.023207582582582598,0.013647564353209522,-0.025674079504724643,-0.035085686648186676,-0.0043662430759204875,0,0
UCI Electricity,persistence_quantile_interval,KM4,2014-07,0.054955183993945694,0.07429693961952033,0.01846305143001293,0.03273972818717877,0.02207446808510638,0.01589568946488823,-0.022215455806766926,-0.05222247153441395,-0.0025673619651246996,0,0
UCI Electricity,persistence_quantile_interval,KM4,2014-08,0.05871133289187398,0.043642836384771955,0.014211443256708567,0.029788454261659252,0.04897125723738627,0.007529837921357129,-0.02892287863021473,0.005328420852614313,-0.006681605335351438,1,0
UCI Electricity,persistence_quantile_interval,KM4,2014-09,0.05274723036819809,0.032238247863247915,0.020788530465949837,0.028312357445421942,0.022849893162393164,0.012938864450961178,-0.024434872922776147,-0.00938835470085475,-0.00784966601498866,0,0
UCI Electricity,persistence_quantile_interval,KM4,2014-10,0.05194242108914323,0.04578680727874285,0.020141582316400185,0.035841965440040355,0.01644144144144144,0.010137995459275354,-0.016100455649102875,-0.029345365837301407,-0.010003586857124831,0,0
UCI Electricity,persistence_quantile_interval,KM4,2014-11,0.05299262789182143,0.056784188034188054,0.017763318670576737,0.04074006190941674,0.037931681681681595,0.01660353535353536,-0.012252565982404692,-0.01885250635250646,-0.0011597833170413768,0,0
UCI Electricity,persistence_quantile_interval,KM4,2014-12,0.056757086999022474,0.06985111662531018,0.013887443635102295,0.0393805379497367,0.02963709677419346,0.011038454261659246,-0.017376549049285775,-0.04021401985111672,-0.0028489893734430487,0,0
Ausgrid,lightgbm_quantile,Ward3,2012-07,0.03921719351242493,0.015880893300248222,0.009652695364476606,0.026949149494731556,0.012117521830122047,0.008958175998849292,-0.012268044017693377,-0.0037633714701261756,-0.0006945193656273142,0,0
Ausgrid,lightgbm_quantile,Ward3,2012-08,0.03799537886143775,0.010341555977229522,0.007128151184953377,0.02584780810587261,0.011907020872865215,0.008285683460998958,-0.012147570755565142,0.0015654648956356931,0.0011575322760455807,1,1
Ausgrid,lightgbm_quantile,Ward3,2012-09,0.040674934968413214,0.021704884414615933,0.015210423634336622,0.035374860646599754,0.020362602535421326,0.014276755852842798,-0.00530007432181346,-0.0013422818791946067,-0.0009336677814938237,0,0
Ausgrid,lightgbm_quantile,Ward3,2012-10,0.03663466033732513,0.011083540115798263,0.004320854461106913,0.027394181321250047,0.007969639468690781,0.004853993598734172,-0.009240479016075085,-0.0031139006471074815,0.0005331391376272587,0,1
Ausgrid,lightgbm_quantile,Ward3,2012-11,0.03705174656261614,0.011250000000000093,0.006816703827573418,0.02535535117056858,0.008421886651752475,0.006774897807506554,-0.01169639539204756,-0.0028281133482476184,-4.1806020066864104e-05,0,0
Ausgrid,lightgbm_quantile,Ward3,2012-12,0.03976786420685438,0.007040942928039695,0.006127953393030498,0.025716546193404542,0.006380455407969721,0.0042624159384327615,-0.014051318013449839,-0.0006604875200699745,-0.0018655374545977366,0,0
Ausgrid,lightgbm_quantile,Ward3,2013-01,0.0436306505556155,0.013699338296112584,0.006753245585643969,0.02799564857769627,0.009147691334598362,0.0060812025748912465,-0.015635001977919227,-0.004551646961514222,-0.0006720430107527223,0,0
Ausgrid,lightgbm_quantile,Ward3,2013-02,0.04267399267399266,0.009593720038350906,0.006935817805382984,0.029577261506609318,0.01041666666666663,0.003463429686255787,-0.013096731167383344,0.0008229466283157238,-0.0034723881191271967,1,0
Ausgrid,lightgbm_quantile,Ward3,2013-03,0.040812565181429124,0.008557949051021141,0.006779767684395992,0.024473603768835183,0.010104364326375626,0.004979411658934754,-0.01633896141259394,0.0015464152753544846,-0.0018003560254612376,1,0
Ausgrid,lightgbm_quantile,Ward3,2013-04,0.04022435897435898,0.008771367521367535,0.005743682645856627,0.02930602006688964,0.014914529914529906,0.008663136380527712,-0.010918338907469335,0.006143162393162371,0.002919453734671085,1,1
