dataset,forecaster_key,window,static_delta_user_gap,static_delta_max_group_gap,static_delta_weighted_group_gap,static_max_conflict,static_weighted_conflict,aci_delta_user_gap,aci_delta_max_group_gap,aci_delta_weighted_group_gap,aci_max_conflict,aci_weighted_conflict,pid_delta_user_gap,pid_delta_max_group_gap,pid_delta_weighted_group_gap,pid_max_conflict,pid_weighted_conflict,window_order
UCI Electricity,lgbm,2014-03,-0.013172996846421925,6.788505584287563e-05,-0.0013749047808874603,1,0,-0.038454312587078605,-0.007169581309841355,-0.006628828992394307,0,0,-0.0416116402158168,-0.013553963160381155,-0.009112814420416511,0,0,2
UCI Electricity,lgbm,2014-04,-0.014148438487798697,-0.0026169387306932412,-0.00230974104633758,0,0,-0.03958679169096863,-0.010120373675335692,-0.008241937523197311,0,0,-0.04356837249519737,-0.01357002331422108,-0.009030341097728548,0,0,3
UCI Electricity,lgbm,2014-05,-0.014966471031681815,-0.00838232863450683,-0.009899827520198277,0,0,-0.03755639142258341,-0.01727331197370141,-0.012853100097488548,0,0,-0.041625849078200015,-0.019966293071618124,-0.013282326148648351,0,0,4
UCI Electricity,lgbm,2014-06,-0.013369619747205103,-0.013258951099732852,-0.004555243312029203,0,0,-0.034352452697824866,-0.016246753726291474,-0.011066200612613711,0,0,-0.039860673222421164,-0.019621933678954706,-0.013110829230888478,0,0,5
UCI Electricity,lgbm,2014-07,-0.014604145040909688,-0.01535868697816789,-0.008246863196283642,0,0,-0.03682187217549525,-0.019664359985230973,-0.013805093877164424,0,0,-0.04412443805922725,-0.02371619146605175,-0.015868931138327217,0,0,6
UCI Electricity,lgbm,2014-08,-0.015581004329756131,-0.01618273685380689,-0.0047289856845712285,0,0,-0.03706855381409284,-0.017201848521302132,-0.009645844105098264,0,0,-0.04336268515923791,-0.020466537238413962,-0.0135864352727115,0,0,7
UCI Electricity,lgbm,2014-09,-0.011638435591955258,-0.009145492875418437,-0.0034509480828292744,0,0,-0.03664445160474593,-0.014812854628478589,-0.007914421708221426,0,0,-0.04195893612421944,-0.0178006572550371,-0.011792812598142643,0,0,8
UCI Electricity,lgbm,2014-10,-0.010939837308525713,0.003519627270035519,0.0006001270903801832,1,1,-0.0339039244088521,-0.010412977261457845,-0.006968657617726344,0,0,-0.03829367350402384,-0.01056015122669518,-0.007000232867466856,0,0,9
UCI Electricity,lgbm,2014-11,-0.006595385412290614,-0.00727500545769133,-0.001906974088319113,0,0,-0.039173828101101656,-0.006687210475139871,-0.003120577210935761,0,0,-0.0445172710550251,-0.01008098760569609,-0.006679609591359726,0,0,10
UCI Electricity,lgbm,2014-12,-0.0070616072591499005,-0.00026892825508195717,0.0005259252534899964,0,1,-0.03579311106988785,-0.008075370121130465,-0.0014502906896429334,0,0,-0.043359527634263845,-0.006164245163104876,-0.003288167569850348,0,0,11
UCI Electricity,persistence,2014-01,-0.03124231387758964,-0.011620448971892183,-0.0083565887806263,0,0,-0.05070909406237189,-0.02248809186945866,-0.014227603821776543,0,0,-0.056215116829060614,-0.03136613374834951,-0.02062955254942767,0,0,0
UCI Electricity,persistence,2014-02,-0.03231566820276496,-0.015625652673350143,-0.010610860913280291,0,0,-0.050032292975841365,-0.01974402151211374,-0.013106147884373733,0,0,-0.05461767734953216,-0.030438074352548194,-0.019924111506772774,0,0,1
UCI Electricity,persistence,2014-03,-0.019215897266105387,-0.0031205238867937357,-0.0013099911708132836,0,0,-0.04292462870116356,-0.020438757172214994,-0.015616032857187922,0,0,-0.050810590294201104,-0.032119529334087904,-0.021156347554630493,0,0,2
UCI Electricity,persistence,2014-04,-0.016478290974258708,0.0073586744639375645,0.0015182062561093987,1,1,-0.0437968393613555,-0.015146807992202804,-0.012630335614206586,0,0,-0.05264744216357117,-0.027037646198830423,-0.017684913652655558,0,0,3
UCI Electricity,persistence,2014-05,-0.019589363983224528,-0.0014030371627995475,0.003811922555418904,0,1,-0.04420466370258253,-0.010012851348802143,-0.007268706839466538,0,0,-0.05189610727461921,-0.018520680060366,-0.012106825276700347,0,0,4
UCI Electricity,persistence,2014-06,-0.025674079504724643,0.007147246804326435,0.002698354512870659,1,1,-0.04726397034864775,-0.007705896686159841,-0.007334433040078205,0,0,-0.05273602965135221,-0.014679047206265339,-0.010102028347996055,0,0,5
UCI Electricity,persistence,2014-07,-0.022215455806766926,-0.005319844894851933,-0.0006079919906662509,0,0,-0.04534891054141832,-0.008164185293140447,-0.005245877085106999,0,0,-0.05143553117018254,-0.010984366157328673,-0.007746823069403672,0,0,6
UCI Electricity,persistence,2014-08,-0.02892287863021473,0.00441084438067274,-0.0031601787910321144,1,0,-0.05200844290984769,-0.006801897454646322,-0.005963445590136558,0,0,-0.05697959038879952,-0.010145340126174296,-0.00678448112761329,0,0,7
UCI Electricity,persistence,2014-09,-0.024434872922776147,-0.00015838206627682982,0.003320503421309894,0,1,-0.04609502280873249,-0.004370735867446296,-0.0026240224828934225,0,0,-0.05162410394265231,-0.0098501461988304,-0.006884367872271119,0,0,8
UCI Electricity,persistence,2014-10,-0.016100455649102875,0.005358476151602676,0.003792411629300256,1,1,-0.04267039542143601,-0.005628451511069055,-0.0035082221801785397,0,0,-0.049860467316242524,-0.016822887191096036,-0.011122410367987853,0,0,9
UCI Electricity,persistence,2014-11,-0.012252565982404692,0.008637536873156382,-0.001917359074617167,1,0,-0.043723525578364286,-0.014865515404785423,-0.012379846855653347,0,0,-0.05365347018572824,-0.029127071150097605,-0.019285597914630165,0,0,10
UCI Electricity,persistence,2014-12,-0.017376549049285775,-0.017004456706281812,-0.007417699366190444,0,0,-0.04729645571216849,-0.01738881814751947,-0.011387285971052881,0,0,-0.054874578248667726,-0.029488539898132493,-0.01930123293286658,0,0,11
