dataset,configuration,coverage,horizon_hours,window,window_order,fold,fit_days,validation_start,validation_stop_exclusive,policy,n,picp,mpiw,macro_user_abs_coverage_gap,max_abs_cluster_coverage_gap,normalized_interval_score
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-10,7,1,35,2013-09-10 00:00:00,2013-09-17 00:00:00,rolling_user_norm,167976,0.7785993237129114,0.2644135976667098,0.0441188610564991,0.027061556329849,2.15653556709362
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-10,7,2,42,2013-09-17 00:00:00,2013-09-24 00:00:00,rolling_global_norm,167811,0.7906513875729243,0.2789782065630652,0.0477230183539903,0.0117392870003601,2.1968670290853907
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-10,7,2,42,2013-09-17 00:00:00,2013-09-24 00:00:00,rolling_group_norm,167811,0.7908361192055348,0.2789480988593077,0.0474670659730379,0.014390756302521,2.196773588240201
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-10,7,2,42,2013-09-17 00:00:00,2013-09-24 00:00:00,rolling_user_norm,167811,0.7860748103521223,0.2784706372644572,0.0398019349851909,0.0163690476190476,2.193930068135882
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-10,7,3,49,2013-09-24 00:00:00,2013-10-01 00:00:00,rolling_global_norm,167877,0.7971014492753623,0.2676765079413201,0.0498555483373851,0.0087351242299424,2.0815639393965077
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-10,7,3,49,2013-09-24 00:00:00,2013-10-01 00:00:00,rolling_group_norm,167877,0.7970895357910851,0.2676153959544387,0.0494743328689273,0.0056833066511424,2.0814624341347825
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-10,7,3,49,2013-09-24 00:00:00,2013-10-01 00:00:00,rolling_user_norm,167877,0.7960054087218619,0.2674824504640746,0.0334987500349803,0.0054796918767507,2.0765021392219314
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-11,8,1,35,2013-10-11 00:00:00,2013-10-18 00:00:00,rolling_global_norm,167967,0.7915007114492728,0.3039706448294492,0.0470921842507945,0.0108163265306122,2.362395839840689
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-11,8,1,35,2013-10-11 00:00:00,2013-10-18 00:00:00,rolling_group_norm,167967,0.7915840611548697,0.303819904126579,0.046996676410196,0.0195847851335656,2.362350325326217
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-11,8,1,35,2013-10-11 00:00:00,2013-10-18 00:00:00,rolling_user_norm,167967,0.78967297147654,0.3048534999000643,0.0349898598631982,0.0214358304297329,2.3563627735633594
